exchange,contract,first_observation,last_trade
CZCE,FG506,2024-06-18,2025-06-11
CZCE,FG507,2024-07-15,2025-07-14
CZCE,FG508,2024-08-15,2025-08-13
CZCE,FG509,2024-09-18,2025-09-12
CZCE,FG510,2024-10-22,2025-10-22
CZCE,FG511,2024-11-15,2025-11-14
CZCE,FG512,2024-12-16,2025-12-12
CZCE,FG601,2016-01-04,2016-01-15
CZCE,FG601,2025-01-16,2026-01-15
CZCE,FG602,2016-01-11,2016-02-19
CZCE,FG602,2025-02-19,2026-02-13
CZCE,FG603,2016-01-08,2016-02-29
CZCE,FG603,2025-03-17,2026-03-13
CZCE,FG604,2016-01-07,2016-03-31
CZCE,FG604,2025-04-16,2026-04-15
CZCE,FG605,2016-01-04,2016-05-11
CZCE,FG605,2025-05-20,2026-05-19
CZCE,FG606,2016-01-04,2016-06-16
CZCE,FG606,2025-06-17,2026-06-12
CZCE,FG607,2016-01-07,2016-07-14
CZCE,FG608,2016-01-11,2016-08-10
CZCE,FG609,2016-01-04,2016-09-12
CZCE,FG610,2016-01-05,2016-10-12
CZCE,FG611,2016-01-04,2016-10-31
CZCE,FG612,2016-01-04,2016-12-02
CZCE,FG701,2016-01-18,2017-01-16
CZCE,FG702,2016-03-01,2017-01-26
CZCE,FG703,2016-03-21,2017-02-28
CZCE,FG704,2016-04-18,2017-03-17
CZCE,FG705,2016-05-17,2017-05-12
CZCE,FG706,2016-06-22,2017-06-08
CZCE,FG707,2016-07-18,2017-06-30
CZCE,FG708,2016-08-29,2017-08-09
CZCE,FG709,2016-09-19,2017-09-08
CZCE,FG710,2016-10-26,2017-10-09
CZCE,FG711,2016-11-15,2017-10-18
CZCE,FG712,2017-01-10,2017-12-01
CZCE,FG801,2017-01-17,2018-01-11
CZCE,FG802,2017-02-22,2018-02-01
CZCE,FG803,2017-03-15,2018-03-05
CZCE,FG804,2017-05-12,2018-04-03
CZCE,FG805,2017-05-16,2018-05-14
CZCE,FG806,2017-06-15,2018-06-12
CZCE,FG807,2017-08-01,2018-07-10
CZCE,FG808,2017-08-30,2018-07-31
CZCE,FG809,2017-09-15,2018-09-06
CZCE,FG810,2017-10-23,2018-10-09
CZCE,FG811,2017-12-05,2018-10-16
CZCE,FG812,2018-01-08,2018-11-29
CZCE,FG901,2018-01-16,2019-01-14
